keyword;minimal_abbreviation;keyword_type
OPTIONS;;Attribute
OR;;Operator
ORDINAL;;Attribute
ORIGIN-HANDLE;;Attribute
ORIGIN-ROWID;;Attribute
OVERLAY;;Attribute
OWNER;;Attribute
OWNER-DOCUMENT;;Attribute
PAGE-BOTTOM;;Attribute
PAGE-TOP;;Attribute
PARAMETER;;Attribute
PARENT;;Attribute
PARENT-BUFFER;;Attribute
PARENT-FIELDS-AFTER;;Attribute
PARENT-FIELDS-BEFORE;;Attribute
PARENT-ID-RELATION;;Attribute
PARENT-RELATION;;Attribute
PARSE-STATUS;;Attribute
PASSWORD-FIELD;;Attribute
PATHNAME;;Attribute
PBE-HASH-ALGORITHM;;Attribute
PBE-KEY-ROUNDS;;Attribute
PERSISTENT;;Attribute
PERSISTENT-CACHE-DISABLED;;Attribute
PERSISTENT-PROCEDURE;;Attribute
PFCOLOR;;Attribute
PIXELS-PER-COLUMN;;Attribute
PIXELS-PER-ROW;;Attribute
POPUP-MENU;;Attribute
POPUP-ONLY;;Attribute
POSITION;;Attribute
PREFER-DATASET;;Attribute
PREPARED;;Attribute
PREPARE-STRING;;Attribute
PREV-COLUMN;;Attribute
PREV-SIBLING;;Attribute
PREV-TAB-ITEM;;Attribute
PRIMARY;;Attribute
PRIMARY-PASSPHRASE;;Attribute
PRINTER-CONTROL-HANDLE;;Attribute
PRINTER-HDC;;Attribute
PRINTER-NAME;;Attribute
PRINTER-PORT;;Attribute
PRIVATE-DATA;;Attribute
PROCEDURE-NAME;;Attribute
PROCEDURE-TYPE;;Attribute
PROFILING;;Attribute
PROGRESS-SOURCE;;Attribute
PROXY;;Attribute
PROXY-PASSWORD;;Attribute
PROXY-USERID;;Attribute
PUBLIC-ID;;Attribute
PUBLISHED-EVENTS;;Attribute
QUALIFIED-USER-ID;;Attribute
QUERY;;Attribute
QUERY-CLOSE;;Method
QUERY-OFF-END;;Attribute
QUERY-OPEN;;Method
QUERY-PREPARE;;Method
QUIT;;Attribute
RADIO-BUTTONS;;Attribute
RADIO-SET;;Widget
RAW;;DataType
RAW-TRANSFER;;Method
READ;;Method
READ-FILE;;Method
READ-JSON;;Method
READ-ONLY;;Attribute
READ-XML;;Method
READ-XMLSCHEMA;;Method
RECID;;Attribute
RECID;;DataType
RECORD-LENGTH;;Attribute
RECTANGLE;RECT;Widget
RECURSIVE;;Attribute
REFRESH;;Method
